Feature,Importance
customerID,0.08575834758818589
gender,0.01750763867448355
SeniorCitizen,0.011168725567235265
Partner,0.0286966413792005
Dependents,0.024433523622279605
tenure,0.11895744339010556
PhoneService,0.005870601405153023
MultipleLines,0.017181049450420805
InternetService,0.034475083397695276
OnlineSecurity,0.08576879066066834
OnlineBackup,0.039285327900206585
DeviceProtection,0.02938641752209457
TechSupport,0.07345697402263421
StreamingTV,0.016559062534443957
StreamingMovies,0.016291858914638222
Contract,0.14014277438142886
PaperlessBilling,0.013340161852313898
PaymentMethod,0.039535530475502366
MonthlyCharges,0.1108713281038714
TotalCharges,0.09131271915743816
